id,Date,Height,Size,Periods,Object Number,Discribtion,Element,type,URL
,1465-1487,Height: 21 millimetres,Diameter: 82 millimetres Height: 21 millimetres,Ming dynasty,"PDF,B.646",Small porcelain dish. Underglaze blue with band of flower and cloud motifs in opposing triangular panels. Central roundel inside with square formed of interlinked ruyi heads. There is an inscription on the base.,lotus,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2ec8fd48_a836_4758_8d44_a3bc0069c8e8/mid_00389508_001.jpg
,1573-1620,Height: 2 centimetres,Diameter: 10.50 centimetres Height: 2 centimetres,Ming dynasty,"1947, 0712.222","Porcelain dish with underglaze blue decoration. This smaller saucer-shaped dish has rounded sides, a flared rim and a tapering foot. It is made of high-quality porcelain with bright blue underglaze cobalt decoration. Inside in a roundel two fish swim among aquatic plants in opposite directions, bordered with white-crested blue waves and with a double ring rim border. Outside four fish, three of them in the same attitude, are similarly depicted. The base carries a four-character archaic mark in a square, surrounded by four further characters in a ring, imitating the form of a Chinese coin. The mark in the square reads 'De hua chang chun' [Virtue, culture and enduring spring] and round the outside 'Wanli nian zao' [Made in the Wanli reign period].",fish,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/6d8ed2f8_2189_481d_9f99_a3ba0165e6b1/mid_00265199_001.jpg
,1540-1600,Height: 2.50 centimetres,Diameter: 13 centimetres Height: 2.50 centimetres,Ming dynasty,"1997, 0326.119","Porcelain dish with underglaze blue decoration. This saucer-shaped dish has rounded sides and a low tapering foot to which grit and sand has adhered from the kiln floor. The dish is painted beneath a matte glaze in cobalt blue with a central roundel inside showing a leaping lion-dog and 'ruyi'-style clouds, reserved in white on a blue ground. Both inner and outer rim and the join of the foot to the body are outlined in blue and there is an abstracted square seal mark on the base which may be the surname 'Ma'.",lion dog,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/c9212b40_85e0_4cef_a1e3_a3b8013e9710/mid_00325847_001.jpg
,1522-1566,Height: 2.20 centimetres,Diameter: 12.80 centimetres Height: 2.20 centimetres,Ming dynasty,"1947, 0712.172","Porcelain dish with underglaze blue decoration. This shallow dish has rounded sides and a raised centre and stands on a low tapering foot ring. Inside, within a double ring medallion, it is decorated in underglaze blue with a figural scene showing a scholar sitting in a garden beneath a pine tree, approached by a servant. Around the rim is a diaper border of a type found on kinrande dishes in the Jiajing era. Outside it is painted with two flowering and fruiting branches with birds perched on them and individual leaves shown drifting through the air between. The base is marked with a badly written Hongwu mark which reads 洪武 年 造 'Hongwu nian zao' [Made in the Hongwu reign period] in a double ring beneath a blue-tinged glaze typical of the sixteenth century.","bird, tree, scholar",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/b8b6cc2b_f560_43cb_8127_a3ba0159fa1b/mid_00262157_001.jpg
,1488-1505,Height: 45 millimetres,Diameter: 215 millimetres Height: 45 millimetres,Ming dynasty,"PDF,A.641",Porcelain dish. Underglaze blue with a band of two five-clawed dragons amid lotus and waterweeds on the exterior . Roundel with dragon in waterweeds with lotus inside. There is an inscription on the base.,"dragons, waterweeds",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/27bae42e_38fd_4b61_ba85_a3bb017a2793/mid_00387146_001.jpg
,1403-1424,Height: 76 millimetres,Diameter: 400 millimetres Height: 76 millimetres,Ming dynasty,"PDF,A.663","Large porcelain dish. Underglaze blue with band of scrolling flowers around inside and outside, with a large central roundel with four large scrolling flowers in the centre. Band of waves on the flattened rim. Base unglazed.","flowers, waves",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/dcdff4d5_387c_4484_b4c2_a3bb017aced0/mid_00387192_001.jpg
,1540-1600,Height: 17 millimetres,Diameter: 125 millimetres Height: 17 millimetres,Ming dynasty,"PDF,A.699","Porcelain dish with low flaring sides. Underglaze blue with watery landscape in various tones of blue with rocks, trees, flying birds, a pagoda and fishermen in a boat in the centre. Three bamboo sprays around the sides. There is an inscription on the base.",riverscape,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/7f08bca9_9488_465d_8c44_a3bb017b1a34/mid_00387378_001.jpg
,1573-1620,Height: 3.80 centimetres,Diameter: 18 centimetres Height: 3.80 centimetres,Ming dynasty,"1973, 0726.371","Porcelain dish with underglaze blue decoration. This saucer-shaped dish has rounded sides, a flared rim and a tapering foot. It is made of high-quality porcelain with pale blue underglaze cobalt decoration and dark blue details, such as the fish scales and outlines of the design. Inside in a roundel two fish swim among aquatic plants in opposite directions, bordered with a double ring. Outside assorted fish swim in different attitudes among aquatic plants spotted with dark blue dots. The base carries a four-character archaic mark in a square, surrounded by four further characters in a ring, imitating the form of a Chinese coin. The mark in the square reads 'De hua chang chun' [Virtue, culture and enduring spring] and round the outside 'Wanli nian zao' [Made in the Wanli reign period]. It is also marked through the glaze with a Chinese owner's mark scratched into the base with a fine-pointed instrument. This mark reads 三 'san' [three] and possibly 奏 本 'zou ben', which may be a name.",fish,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/04cc8462_fd9f_4ae0_99cd_a3b8013e9671/mid_00325800_001.jpg
,1573-1620,Height: 3.50 centimetres,Diameter: 18 centimetres Height: 3.50 centimetres,Ming dynasty,Franks.317.+,"Two porcelain dishes with underglaze blue decoration. These two saucer-shaped dishes each have rounded sides, a flared rim and a tapering foot. They are made of high-quality porcelain with bright cobalt blue underglaze decoration. Inside in a roundel two fish swim among aquatic plants in opposite directions, bordered with a double ring. Outside assorted fish swim in different attitudes among aquatic plants spotted with dark blue dots. The base carries a four-character archaic mark in a square, surrounded by four further characters in a ring, imitating the form of a Chinese coin. The mark in the square reads 'De hua chang chun' [Virtue, culture and enduring spring] and round the outside 'Wanli nian zao' [Made in the Wanli reign period]. One of the dishes has a drilled owner's mark, suggesting that it was once owned by a collector in the Near East.",fish,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/4aba4ea1_9ae7_4b7c_90a5_a3ba0165161a/mid_00265019_001.jpg
,1403-1424,Height: 2.50 centimetres,Diameter: 19.70 centimetres Height: 2.50 centimetres,Ming dynasty,"1947, 0712.199","Porcelain dish with bracket-lobed rim painted in underglaze blue. This shallow mould-made dish has rounded eight-lobed sides and a flattened bracket-lobed rim; it stands on a low foot ring. Typical of Yongle underglaze cobalt-blue decoration, the designs appear slightly blurred and out of focus. In the centre is an octagonal bracket-lobed cartouche framing a flowering and budding camellia growing from one branch. In the cavetto are alternating single sprays of camellia and fruiting pomegranate. The flat rim is outlined with blue lines and is painted with a lingzhi scroll. Outside the walls are painted with eight flowers. The foot and top and bottom edges of the rim are emphasized with single blue lines. The base is flat and unglazed but covered with a black deposit, possibly ink.","flower, fruit",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/88f3de61_c9e4_4d32_98b4_a3ba015685b7/mid_00261125_001.jpg
,1426-1435,Height: 46 millimetres,Diameter: 203 millimetres Height: 46 millimetres,Ming dynasty,"PDF,A.613",Porcelain dish with underglaze blue scrolling lotuses and phoenixes around sides and in the centre. Anhua decoration of two phoenixes painted lightly in slip on the cavetto. There is an inscription on the base.,phoenixes,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/f7fcc36d_34c8_47bc_83b6_a3bb017a36a8/mid_00387105_001.jpg
,1488-1505,Height: 4 centimetres,Diameter: 17.80 centimetres Height: 4 centimetres,Ming dynasty,"1947, 0712.203","Porcelain dish in underglaze blue decoration. Superficially identical to BM 1930.0421.8, this dish is distinctive in a number of ways. First it has a different shape with rounded sides, an everted rim and a tapering foot. The design of a prancing dragon is the same, but the creature has a thicker and more powerful body. There is a greater depth of shading to the cobalt blue. The rim also has a different border of classic scroll. Outside two dragons pursue flaming pearls among 'ruyi' clouds. A Hongzhi six-character reign mark is painted under the glaze on the base.","flaming jewel, dragon",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/280bec2e_8279_4478_b474_a3b600ee13ce/mid_00014301_001.jpg
,1403-1424,Height: 29 millimetres,Diameter: 198 millimetres Height: 29 millimetres,Ming dynasty,"PDF,B.683","Porcelain dish with lobed sides and bracket-lobed rim. Underglaze blue with flower spray in each lobe outside . Similar flower sprays inside cavetto, with ogival roundel with three scrolling flowers in centre. Band of scrolling ruyi and leaves on rim. Unglazed base.",flowers,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/46e1a8c4_68e7_477e_8aa7_a3bc0069c68c/mid_00389608_001.jpg
,1573-1620,Height: 28 millimetres,Diameter: 137 millimetres Height: 28 millimetres,Ming dynasty,"PDF,A.675","Porcelain dish. Underglaze blue with stylised leaf sprays around sides and inside with central roundel with a white hare staring at the moon in a garden landscape, including rock, flowers and lingzhi fungus tree. Band of rocks and trees around cavetto. There is an inscription on the base. Closely related to PDF676.",rabbiit,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/370c511c_43e2_4a78_8ed3_a3bb017aafc5/mid_00387229_001.jpg
,1403-1424,Height: 79 millimetres,Diameter: 433 millimetres Height: 79 millimetres,Ming dynasty,"PDF,A.683","Large porcelain dish with foliate rim and lobed well. Decorated in underglaze blue with flower sprays in each lobe on the interior and exterior, and a band of scrolling stylised flowers around the rim. Flowers include peonies, hibiscus, lotus and chrysanthemums. Inside, in the centre, three bunches of grapes with scrolling leaves in bracketed double circle. Base unglazed.","flowers, grapes",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/5d7d0851_964c_442b_866b_a3bb017b3f63/mid_00387346_001.jpg
,1465-1487,Height: 40 millimetres,Diameter: 192 millimetres Height: 40 millimetres,Ming dynasty,"PDF,B.627",Porcelain dish. Underglaze blue with band of scrolling Buddhist emblems entwined in leaves around the exterior and inside cavetto. Large central roundel with a Buddhist wheel supported on a lotus flower. There is an inscription on the base.,Buddihist emblems,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f568d8e9_fda5_43b5_a201_a3bc0067f279/mid_00389104_001.jpg
,1426-1435,Height: 45 millimetres,Diameter: 132 millimetres Height: 45 millimetres,Ming dynasty,"PDF,B.697",Small porcelain dish. Underglaze blue outside with narrow band of scrolling flowers and leaves. Concentric bands of scrolling palmettes within strapwork borders. Raised roundel in the centre with similar palmette and strapwork design. There is an inscription on the base.,underglaze blue decoration,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/376214fa_b3b1_442b_8449_a3bc006a209e/mid_00389651_001.jpg
,1506-1521,Height: 4 centimetres,Diameter: 23.80 centimetres Height: 4 centimetres,Ming dynasty,Franks.303.+,"Porcelain dish with underglaze blue decoration. This dish has shallow rounded sides and a generous tapering foot. It is painted in cobalt blue beneath the glaze with dragons in different attitudes among lotus scrolls. In the centre the dragon is shown prancing with open jaws, bulging eyes and horns, and in the cavetto and outside there are two dragons, one with its jaws shut, revealing fangs, the other with open jaws and a contorted neck. The foot is decorated with a border of 'ruyi' heads. The dish has a glazed base bearing a four-character Zhengde reign mark within a double ring.","dragon, lotus",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/20b228be_70d2_491a_8ed5_a3ba016a543d/mid_00266379_001.jpg
,1436-1464,Height: 38 millimetres,Diameter: 193 millimetres Height: 38 millimetres,Ming dynasty,"PDF,B.680",Shallow porcelain dish. Underglaze blue with two horizontal five-clawed dragons amid scrolling lotus flowers and leaves. Band of classic scrolls around foot. Two similar dragons amid scrolling lotus around inside cavetto and a further dragon in central roundel. There is an inscription on the base.,"dragons, lotus",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/570b37f6_5d44_4bac_af2e_a3bc0069a619/mid_00389592_001.jpg
,,Height: 3.50 centimetres,Diameter: 17.30 centimetres Height: 3.50 centimetres,Ming dynasty,"1968, 1221.8","Porcelain dish with underglaze blue decoration. This slightly warped but otherwise high-quality dish has rounded sides, an everted rim and a tapering foot. It is painted under the glaze in a rich vibrant blue with, in the centre, a Tibetan/ Sanskrit character, surrounded by a double ring, with a peony branch above and a prunus blossom below encircled by double lines. In the cavetto are eight Tibetan/Sanskrit characters resting on lotus-leaf scroll work with a cross-hatched border at the rim. Outside are the Eight Buddhist Treasures - conch shell, parasol, canopy, lotus, paired fish, lidded jar, endless knot and wheel of the law - surrounded by a continuous lotus scroll. The base is glazed but unmarked.","plum blossom, canopy, fish, lotus, bush",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/9b60d6e2_33e5_4a98_b1c6_a3ba016d63c6/mid_00267319_001.jpg
,1573-1620,Height: 38 millimetres,Diameter: 175 millimetres Height: 38 millimetres,Ming dynasty,"PDF,B.603","Porcelain dish with gently rounded sides. Underglaze blue with the Eight Immortals in a landscape around the sides, and the God of Longevity (Shoulao) seated on a rock with deer and crane in a roundel in the centre. There is an inscription on the base.","Immortals, Shoulao",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/a7e8a3e2_7fb6_4d4a_bd4a_a3bc0068289b/mid_00389027_001.jpg
,1506-1521,Height: 41 millimetres,Diameter: 194 millimetres Height: 41 millimetres,Ming dynasty,"PDF,A.651",Shallow porcelain dish. Underglaze blue with two five-clawed dragons among floral scrolls on the exterior and on inside cavetto. Five-clawed dragon among floral scrolls in a roundel on the interior. Cloud motif band on foot. There is an inscription on the base.,"dragons, lotus",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/d08f8777_6e60_4bb6_a37d_a3bb017a9260/mid_00387164_001.jpg
,1601,Height: 27 millimetres,Diameter: 137 millimetres Height: 27 millimetres,Ming dynasty,"PDF,A.676","Porcelain dish. Underglaze blue with stylised leaf sprays around sides and inside with central roundel with a white hare staring at the moon in a garden landscape, including rock, flowers and lingzhi fungus tree. Band of rocks and trees with a single bird around cavetto. There is an inscription on the base. Closely related to PDF675.",rabbit,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/ee28f822_a0ff_413b_b3b0_a3bb017adbe7/mid_00387309_001.jpg
,1567-1572,Height: 42 millimetres,Diameter: 198 millimetres Height: 42 millimetres,Ming dynasty,"PDF,B.606",Porcelain dish with gently rounded sides. Underglaze blue with two ducks swimming in a lotus pond in a double circle in the centre. Dense trellis pattern around inner rim. There is an inscription on the base.,ducks,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/627af98e_2856_4a20_a78e_a3bc00683d19/mid_00389036_001.jpg
,,,,,,,,,
第三页,,,,,,,,,
,1573-1620,Height: 65 millimetres,Diameter: 152 millimetres Height: 65 millimetres,Ming dynasty,"PDF,A.666",Porcelain bowl. Dark blue ground with white slip design of four fish swimming among aquatic plants. Inside white and undecorated. There is an inscription on the base.,fish,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/b382b0aa_641d_4fd1_9d73_a3bb017adfbd/mid_00387200_001.jpg
,1600-1620,Height: 106 millimetres,Diameter: 212 millimetres Height: 106 millimetres,Ming dynasty,"PDF,A.667",Porcelain bowl. Underglaze blue with wide band of scrolling peony flowers above band of petal panels. Four fish swimming around the interior cavetto and a single fish in water weeds in a roundel in the centre.,fish,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/6234538c_bba3_4044_bd83_a3bb017afac7/mid_00387210_001.jpg
,1540-1566 (circa),Height: 16 centimetres,Diameter: 36 centimetresHeight: 16 centimetres,Ming dynasty,Franks.282.+,"Large porcelain bowl with underglaze blue decoration. This large bowl has rounded slightly flared sides and a high tapering foot. Painted in underglaze blue inside, a central medallion shows a 'shou' [longevity] character in a 'ruyi' cloud rosette with symmetrical 'ruyi' clouds and flying cranes on either side and beneath with scrolling 'ruyi' emerging from the…",bird,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/d765043c_da57_442f_b3c9_a3ba0161fedb/mid_00264264_001.jpg
,1522-1566,Height: 63 millimetres,Diameter: 120 millimetresHeight: 63 millimetres,Ming dynasty,PDF.770,"Porcelain bowl with rounded sides and straight rim. There is a roundel enclosing crane among clouds in underglaze blue decoration on a red enamel ground in the centre of the interior, with four medallions, each enclosing two cranes and clouds, on the exterior. There is a mark in underglaze blue on the base.",bird,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/bc2f4cf2_348c_4146_afb1_a3bb016d8494/mid_00382886_001.jpg
,1426-1435,Height: 38 millimetres,Diameter: 162 millimetresHeight: 38 millimetres,Ming dynasty,"PDF,A.603",Lobed porcelain bowl with flattened sides. Underglaze blue with a dragon and clouds roundel in centre and outside with dragons in each lobe. Parallel blue lines around inner and outer rim. There is an inscription on the base.,dragon,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/a976c7c2_b075_4ec1_823c_a3bb017a1a69/mid_00387090_001.jpg
,1426-1435,Height: 10 millimetres,Diameter: 280 millimetresHeight: 10 millimetres,Ming dynasty,"PDF,B.658","Porcelain bowl with underglaze blue flower and fruit sprays around sides. Overlapping lotus panels rise from the foot, with flower sprays on the foot. Horizontal inscription just below rim.","fruit, flower",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f9bf6143_8d30_4dc0_9274_a3bc006986df/mid_00389528_001.jpg
,1573-1620,Height: 40 millimetres,Diameter: 126 millimetresHeight: 40 millimetres,Ming dynasty,PDF.624,"Porcelain bowl with flaring sides, straight mouth rim and low foot formed by a recessed base. There is a floral scroll of peonies, chrysanthemums and lotuses in underglaze blue on the exterior, and a lotus flower and scrolls of stylised leaves in underglaze blue on the interior. There is a mark on the base.",flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/405b9595_2527_4929_9cb5_a3bb0164ea9f/mid_00380144_001.jpg
,1426-1435,Height: 105 millimetres,Diameter: 155 millimetresHeight: 105 millimetres,Ming dynasty,"PDF,B.671","Deep porcelain bowl. Underglaze blue with wide band of five lions sporting with brocaded ball and ribbons, with auspicious symbols scattered around. Band of overlapping petal panels above foot. Central roundel inside with two similar lions. There is an inscription on the base. Pair with B671.",lion,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/a4d2514f_ebeb_4c99_b936_a3bc00696858/mid_00389562_001.jpg
,1736-1795,Height: 67 millimetres,Diameter: 213 millimetresHeight: 67 millimetres,Qing dynasty,"PDF,B.673","Porcelain bowl with wide flaring sides. Underglaze blue with wide band of scrolling lotus flowers and leaves above narrow band of overlapping lotus petals. On the interior, white slip design of floral scrolls around the cavetto, with single blue flower head in double circle in centre. There is an inscription on the base.",lotus flowers,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/d09ca52a_b2e4_4e65_b83c_a3bc0069707f/mid_00389566_001.jpg
,1465-1487,Height: 72 millimetres,Diameter: 154 millimetresHeight: 72 millimetres,Ming dynasty,"PDF,A.649",Porcelain bowl. Underglaze blue with wide band of scrolling formal lotus flowers and leaves between parallel blue lines. There is an inscription on the base.,flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/9e278cc3_24c3_46c9_99d7_a3be0106aa23/mid_00442818_001.jpg
,1573-1620,Height: 80 millimetres,Diameter: 155 millimetresHeight: 80 millimetres,Ming dynasty,"PDF,B.698","Porcelain bowl with straight sides. Underglaze blue with wide band of scrolling lotus flowers with Eight Buddhist emblems floating or supported on flower heads, above band of overlapping panels. Inscription in centre written vertically in a double rectangle within a double circle. classic scrolls around foot.","budism, lotus",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/b08a0451_c10a_4a80_a37a_a3bc006a2470/mid_00389653_001.jpg
,15thC(early),Height: 102 millimetres,Diameter: 210 millimetresHeight: 102 millimetresWeight: 1225 grammes,Ming dynasty,"PDF,B.637","Porcelain bowl. Underglaze blue with separated stylised lotus petals and band of squared spirals at the rim. Wide band of scrolling chrysanthemums and camellias inside , below narrow band of waves around inside rim. Central roundel with fruit spray.",flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/6e2ed7d1_7471_4df4_8631_a3bc00687d77/mid_00389159_001.jpg
,1662-1680,Height: 50 millimetres,Diameter: 161 millimetresHeight: 50 millimetres,Qing dynasty,"PDF,C.621",Shallow porcelain bowl. Underglaze blue with two groups of tree branches around sides and inside with rocky landscape scene with horse and rider in the centre in double circle. Narrow band of leafy branches around rim. There is an inscription on the base.,male,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/ad717312_cf42_4933_a71a_a3bc006cd951/mid_00390523_001.jpg
,1426-1435,Height: 105 millimetres,Diameter: 155 millimetresHeight: 105 millimetres,Ming dynasty,"PDF,B.670","Deep porcelain bowl. Underglaze blue with wide band of five lions sporting with brocaded ball and ribbons, with auspicious symbols scattered around. Band of overlapping petal panels above foot. Central roundel inside with two similar lions. There is an inscription on the base. Pair with B671.",lion,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/a4d2514f_ebeb_4c99_b936_a3bc00696858/mid_00389562_001.jpg
,1403-1424,Height: 48 millimetres,Diameter: 130 millimetresHeight: 48 millimetres,Ming dynasty,"PDF,B.625","Shallow porcelain bowl. Underglaze blue with band of petal panels with flower heads and squared spirals. Inside decorated with bands of pendant tricorn elements, a band of scrolling flowers and a central roundel with four tricorns at right angles.",middle east images,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/28c7032d_0034_4d2d_8d83_a3bc006862fa/mid_00389098_001.jpg
,1426-1435,Height: 84 millimetres,Diameter: 159 millimetresHeight: 84 millimetres,Ming dynasty,"PDF,B.630",Porcelain bowl. Underglaze blue with wide band of scrolling Buddhist emblems supported on lotus flowers. Band of classic scrolls around the foot. There is an inscription on the base.,"lotus, fish",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/13cfd28e_d8bf_46ca_ae07_a3bc006833fa/mid_00389132_001.jpg
,1573-1620,Height: 53 millimetres,Diameter: 88 millimetresHeight: 53 millimetres,Ming dynasty,"PDF,B.622","Small porcelain bowl with straight sides. Wide band of pierced openwork around sides, with four inset underglaze blue roundels containing a flying phoenix. At the top of the openwork band are four small roundels with pierced characters. Band of scrolling flowers below rim and above foot. Inscription on unglazed base. A pair with B621.",inscription，phoenix,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/e5b8e1c7_a265_49e1_bf9e_a3bc0068556e/mid_00389093_001.jpg
,1488-1505,Height: 84 millimetres,Diameter: 162 millimetresHeight: 84 millimetres,Ming dynasty,"PDF,A.623","Double porcelain bowl with porcelain dish set in the interior sealing the top and a hole at the base. Underglaze blue with scrolling lotus and lappets. Two flying dragons, feiyu, inside with water weeds.","lotus,butterfly,flower",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/73914e22_9d9a_4630_b1d5_a3bb0179f79f/mid_00387120_001.jpg
,1628-1644,Height: 38 millimetres,Diameter: 72 millimetresHeight: 38 millimetres,Ming dynasty,"PDF,A.690","Small porcelain bowl with straight sides. Underglaze blue with three friends of winter motif: pine, flowering prunus and bamboo trees. Band of overlapping petals around base. Inscription inside foot on base.","bamboo,pine,plum blossom",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/9efa9538_59de_420c_a445_a3bb017b633d/mid_00387363_001.jpg
,16thC-17thC,Height: 53 millimetres,Diameter: 118 millimetresHeight: 53 millimetres,Ming dynasty,"PDF,A.624",Conical Porcelain bowl. Underglaze blue wide band of two phoenixes amid scrolling flowers and leaves. Three tall rocks in waves with men and fighting water buffalo on the interior. Trellis patterns around the rim. There is an inscription on the base.,lotus，phoenix,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/fd58cc2d_bb1e_4f46_b6c2_a3bb0179faf3/mid_00387122_001.jpg
,16thC,Height: 60 millimetres,Diameter: 121 millimetresHeight: 60 millimetres,Ming dynasty,"PDF,A.551","Porcelain bowl. Covered in green enamel on the exterior, with gilt (kinrande) lotus scrolls. Underglaze blue inside, with flower spray in the centre and diaper band at the rim. There is an inscription on the base.",flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_2/381d6f3f_94c1_49d6_b4ce_a3c10026e123/mid_00588759_001.jpg
,1426-1435,Height: 107 millimetres,Diameter: 295 millimetresHeight: 107 millimetres,Ming dynasty,"PDF,B.619","Porcelain bowl with the Three Friends of Winter (pines, prunus and bamboo) in underglaze blue. Horizontal inscription below the rim.","bamboo,pine,plum blossom",bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/3302396e_1b6a_4a46_85bd_a3bc00684ad4/mid_00389088_001.jpg
,1426-1435,Height: 122 millimetres,Diameter: 264 millimetresHeight: 122 millimetres,Ming dynasty,"PDF,B.640",Large porcelain bowl of 'dice bowl' form. Underglaze blue with two five-clawed dragons chasing a pearl. Band of waves at rim. Central roundel inside with inscription.,dragon,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_16/123599f5_a380_40ee_bbf1_a3bf010888ef/mid_00526026_001.jpg
,1573-1620,Height: 25 millimetres,Diameter: 48 millimetresHeight: 25 millimetres,Ming dynasty,PDF.626,"Miniature porcelain bowl with rounded sides and straight rim. There are two birds on a peach branch and two on a peony branch in underglaze blue on the exterior, and two bands of pseudo-Sanskrit characters on the cavetto with a roundel containing a pseudo-Sanscrit character in the centre. There is a mark on the base.",bird,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/a2fcd718_35c9_4195_9326_a3bb01650d19/mid_00380162_001.jpg
,16thC(late),Height: 62 millimetres,Diameter: 141 millimetresHeight: 62 millimetres,Ming dynasty,"PDF,A.661","Porcelain bowl. Underglaze blue seascape scenes with pagodas, pine trees, birds and rocks. Auspicious symbols around foot. Roundel with similar seascape with addition of fishermen inside. Mouth rim bound with copper. There is an inscription on the base.",mountain，river,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/ad5f6d0d_9b6d_4228_94f6_a3bb017ac485/mid_00387187_001.jpg
,1567-1572,Height: 63 millimetres,Diameter: 122 millimetresHeight: 63 millimetres,Ming dynasty,PDF.622,Porcelain bowl with straight sides slightly flared at the rim. There is a roundel with a woman and child on a terrace in underglaze blue in the centre of the interior. There is an inscription on the exterior.,poetry,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/e5ad7489_5ee1_40a3_aff6_a3bb01653a62/mid_00380136_001.jpg
,1565,Height: 73 millimetres,Diameter: 215 millimetresHeight: 73 millimetres,Ming dynasty,"PDF,A.550","Porcelain bowl. Covered in green enamel on the exterior, with traces of gilt (kinrande) floral scroll design. Underglaze blue on the interior, with three sages on a terrace in the centre and a diaper band around the rim. There is an inscription on the base.",human,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/26f92945_493f_47df_8bbc_a3bb0179bf01/00386909_001.jpg
,1465-1487,Height: 70 millimetres,Diameter: 149 millimetresHeight: 70 millimetres,Ming dynasty,"PDF,A.648",Porcelain bowl. Underglaze blue with wide band of scrolling day lilies between parallel blue lines. Similar scrolling lilies inside and stylised flowerhead in double circle in the centre. There is an inscription on the base.,flower,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/252204c4_57e8_4fd3_8cb9_a3be01069c51/mid_00442813_001.jpg
,1465-1487,Height: 72 millimetres,Diameter: 153 millimetresHeight: 72 millimetres,Ming dynasty,"PDF,A.644","Porcelain bowl. Underglaze blue with wide band of three sprays of scrolling melons and vines . Pairs of blue lines at rim, base and foot. There is an inscription on the base.",vine,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/2eee48d1_9f95_472b_9003_a3be0106a0f6/mid_00442815_001.jpg
